Número;Nombre;Tipo;Contacto;Cargo;Correo Electrónico;Teléfono;Observaciones;Razon Social;Tipo de Contribuyente;CUIT;Alta;Baja;Activo;Frecuencia;Importe;Nro de Cuenta
D00001;TechNova Solutions;Empresa;Contacto A;-;TechNova Solutions@example.com;(011) 5000-0001;Observación 1;S.R.L;Responsable Inscripto;20-12345678-9;45348;45383;NO;Mensual;292732;402101
D00002;EnergiaPlus S.A.;Empresa;Contacto B;-;EnergiaPlus S.A.@example.com;(011) 5000-0002;Observación 2;S.A;Monotributista;21-23456789-0;45303;45383;NO;Bimestral;326439;403101
D00003;Grupo Delta;Empresa;Contacto C;-;Grupo Delta@example.com;(011) 5000-0003;Observación 3;S.R.L;Responsable Inscripto;22-34567890-1;45451;;SI;Anual;27692o;403101
D00004;Inova Global;Empresa;Contacto D;-;Inova Global@example;(011) 5000-0004;Observación 4;S.R.L;Monotributista;23-45678901-2;45333;45383;NO;Mensual;4o6733;402101
D00005;Vanguardia Consultora;Empresa;Contacto E;-;Vanguardia Consultora@example.com;(011) 5000-0005;Observación 5;S.R.L;Responsable Inscripto;24-56789012-3;45441;;SI;Bimestral;352572;403101
D00006;EcoTech Argentina;Empresa;Contacto F;-;EcoTech Argentina@example.com;(011) 5000-0006;Observación 6;;Monotributista;25-67890123-4;45329;45383;NO;Anual;499223;403101
D00007;NexGen Industries;Empresa;Contacto G;-;NexGen Industries@example.com;(011) 5000-0007;Observación 7;S.R.L;Responsable Inscripto;26-78901234-5;45469;;SI;Mensual;34473o;402101
D00008;RedHorizonte;Empresa;Contacto H;-;RedHorizonte@example.com;(011) 5000-0008;Observación 8;S.R.L;Monotributista;27-89012345-6;25/25/2024;;SI;Bimestral;489625;403101
D00009;Optima Logística;Empresa;Contacto I;-;Optima Logística@example.com;(011) 5000-0009;Observación 9;S.R.L;Responsable Inscripto;28-90123456-7;45429;;SI;Anual;428367;403101
D00010;Punto Verde;Empresa;Contacto J;-;Punto Verde@example.com;(011) 5000-0010;Observación 10;S.R.L;Monotributista;29-01234567-8;45383;;SI;Mensual;36284o;402101
D00011;Zenith Digital;Empresa;Contacto K;-;Zenith Digital@example.com;(011) 5000-0011;Observación 11;S.R.L;Responsable Inscripto;20-12345679-0;45367;45383;NO;Bimestral;152834;403101
D00012;CreaTech S.R.L.;Empresa;Contacto L;-;CreaTech S.R.L.@example.com;(011) 5000-0012;Observación 12;S.R.L;Monotributista;21-23456780-1;45397;;SI;Anual;17531o;403101
D00013;Alfa Innovaciones;Empresa;Contacto M;-;Alfa Innovaciones@example.com;(011) 5000-0013;Observación 13;S.R.L;Responsable Inscripto;22-34567891-2;45326;45383;NO;Mensual;417633;402101
D00013;Alfa Innovaciones;Empresa;Contacto M;-;Alfa Innovaciones@example.com;(011) 5000-0013;Observación 13;S.R.L;Responsable Inscripto;22-34567891-2;45326;45383;NO;Mensual;169763;402101
D00014;ServiNet;Empresa;Contacto N;-;ServiNet@example.com;(011) 5000-0014;Observación 14;S.A;Monotributista;23-45678902-3;45448;;SI;Bimestral;244263;403101
D00015;AeroPlus;Empresa;Contacto O;-;AeroPlus@example;(011) 5000-0015;Observación 15;S.A;Responsable Inscripto;24-56789013-4;45374;45383;NO;Anual;1o9935;403101
D00016;MaxiData;Empresa;Contacto P;-;MaxiData@example.com;(011) 5000-0016;Observación 16;;Monotributista;25-67890124-5;45389;;SI;Mensual;483186;402101
D00017;EcoAventura;Empresa;Contacto Q;-;EcoAventura@example.com;(011) 5000-0017;Observación 17;S.A;Responsable Inscripto;26-78901235-6;45380;45383;NO;Bimestral;349289;403101
D00018;Sigma Consulting;Empresa;Contacto R;-;Sigma Consulting@example.com;(011) 5000-0018;Observación 18;S.A;Monotributista;27-89012346-7;45381;;SI;Anual;191824;403101
D00019;Soluciones Avanzadas;Empresa;Contacto S;-;Soluciones Avanzadas@example.com;(011) 5000-0019;Observación 19;S.A;Responsable Inscripto;28-90123457-8;45292;45383;NO;Mensual;349612;402101
D00020;RedSol Argentina;Empresa;Contacto T;-;RedSol Argentina@example.com;(011) 5000-0020;Observación 20;S.A;Monotributista;29-01234568-9;45355;45383;NO;Bimestral;452948;403101
D00021;Grupo Synthesis;Empresa;Contacto U;-;Grupo Synthesis@example.com;(011) 5000-0021;Observación 21;S.A;Responsable Inscripto;20-12345680-1;45398;;SI;Anual;359387;403101
D00022;DeltaElectro;Empresa;Contacto V;-;DeltaElectro@example.com;(011) 5000-0022;Observación 22;S.A;Monotributista;21-23456781-2;45326;45383;NO;Mensual;453421;402101
D00023;SmartTech Argentina;Empresa;Contacto W;-;SmartTech Argentina@example.com;(011) 5000-0023;Observación 23;S.A;Responsable Inscripto;22-34567892-3;45442;;SI;Bimestral;333679;403101
D00024;NovaVisión;Empresa;Contacto X;-;NovaVisión@example.com;(011) 5000-0024;Observación 24;S.A;Monotributista;23-45678903-4;45443;;SI;Anual;152261;403101
D00025;InfoMática S.A.;Empresa;Contacto Y;-;InfoMática S.A.@example.com;(011) 5000-0025;Observación 25;S.A;Responsable Inscripto;24-56789014-5;45451;;SI;Mensual;3o9782;402101
D00026;Energía VIVA;Empresa;Contacto Z;-;Energía VIVA@example;(011) 5000-0026;Observación 26;S.A;Monotributista;25-67890125-6;45456;;SI;Bimestral;27o14o;403101
D00027;TransWorld;Empresa;Contacto AA;-;TransWorld@example.com;(011) 5000-0027;Observación 27;S.A;Responsable Inscripto;26-78901236-7;45448;;SI;Anual;414446;403101
