numero,nombre,tipo,contacto,mail,telefono,razon,contribuyente,cuit,fecha,activo,frecuencia,importe,nro_cuenta,pais
D00001,TechNova Solutions,Empresa,Contacto A,TechNova Solutions@example.com,(011) 5000-0001,S.R.L,Responsable Inscripto,20-12345678-9,2024-02-26,False,Mensual,292732.0,402101,Brasil
D00002,EnergiaPlus S.A.,Empresa,Contacto B,EnergiaPlus S.A.@example.com,(011) 5000-0002,S.A,Monotributista,21-23456789-0,2024-01-12,False,Bimestral,326439.0,403101,Uruguay
D00003,Grupo Delta,Empresa,Contacto C,Grupo Delta@example.com,(011) 5000-0003,S.R.L,Responsable Inscripto,22-34567890-1,2024-06-08,True,Anual,276920.0,403101,Bolivia
D00004,Inova Global,Empresa,Contacto D,Inova Global@example,(011) 5000-0004,S.R.L,Monotributista,23-45678901-2,2024-02-11,False,Mensual,406733.0,402101,Uruguay
D00005,Vanguardia Consultora,Empresa,Contacto E,Vanguardia Consultora@example.com,(011) 5000-0005,S.R.L,Responsable Inscripto,24-56789012-3,2024-05-29,True,Bimestral,352572.0,403101,Argentina
D00006,EcoTech Argentina,Empresa,Contacto F,EcoTech Argentina@example.com,(011) 5000-0006,S.R.L,Monotributista,25-67890123-4,2024-02-07,False,Anual,499223.0,403101,Colombia
D00007,NexGen Industries,Empresa,Contacto G,NexGen Industries@example.com,(011) 5000-0007,S.R.L,Responsable Inscripto,26-78901234-5,2024-06-26,True,Mensual,344730.0,402101,Argentina
D00008,RedHorizonte,Empresa,Contacto H,RedHorizonte@example.com,(011) 5000-0008,S.R.L,Monotributista,27-89012345-6,2024-07-25,True,Bimestral,489625.0,403101,Uruguay
D00009,Optima Logística,Empresa,Contacto I,Optima Logística@example.com,(011) 5000-0009,S.R.L,Responsable Inscripto,28-90123456-7,2024-05-17,True,Anual,428367.0,403101,Brasil
D00010,Punto Verde,Empresa,Contacto J,Punto Verde@example.com,(011) 5000-0010,S.R.L,Monotributista,29-01234567-8,2024-04-01,True,Mensual,362840.0,402101,Chile
D00011,Zenith Digital,Empresa,Contacto K,Zenith Digital@example.com,(011) 5000-0011,S.R.L,Responsable Inscripto,20-12345679-0,2024-03-16,False,Bimestral,152834.0,403101,Paraguay
D00012,CreaTech S.R.L.,Empresa,Contacto L,CreaTech S.R.L.@example.com,(011) 5000-0012,S.R.L,Monotributista,21-23456780-1,2024-04-15,True,Anual,175310.0,403101,Brasil
D00013,Alfa Innovaciones,Empresa,Contacto M,Alfa Innovaciones@example.com,(011) 5000-0013,S.R.L,Responsable Inscripto,22-34567891-2,2024-02-04,False,Mensual,417633.0,402101,Chile
D00013,Alfa Innovaciones,Empresa,Contacto M,Alfa Innovaciones@example.com,(011) 5000-0013,S.R.L,Responsable Inscripto,22-34567891-2,2024-02-04,False,Mensual,169763.0,402101,Paraguay
D00014,ServiNet,Empresa,Contacto N,ServiNet@example.com,(011) 5000-0014,S.A,Monotributista,23-45678902-3,2024-06-05,True,Bimestral,244263.0,403101,Colombia
D00015,AeroPlus,Empresa,Contacto O,AeroPlus@example,(011) 5000-0015,S.A,Responsable Inscripto,24-56789013-4,2024-03-23,False,Anual,109935.0,403101,Brasil
D00016,MaxiData,Empresa,Contacto P,MaxiData@example.com,(011) 5000-0016,S.A,Monotributista,25-67890124-5,2024-04-07,True,Mensual,483186.0,402101,Brasil
D00017,EcoAventura,Empresa,Contacto Q,EcoAventura@example.com,(011) 5000-0017,S.A,Responsable Inscripto,26-78901235-6,2024-03-29,False,Bimestral,349289.0,403101,Brasil
D00018,Sigma Consulting,Empresa,Contacto R,Sigma Consulting@example.com,(011) 5000-0018,S.A,Monotributista,27-89012346-7,2024-03-30,True,Anual,191824.0,403101,Chile
D00019,Soluciones Avanzadas,Empresa,Contacto S,Soluciones Avanzadas@example.com,(011) 5000-0019,S.A,Responsable Inscripto,28-90123457-8,2024-01-01,False,Mensual,349612.0,402101,México
D00020,RedSol Argentina,Empresa,Contacto T,RedSol Argentina@example.com,(011) 5000-0020,S.A,Monotributista,29-01234568-9,2024-03-04,False,Bimestral,452948.0,403101,Argentina
D00021,Grupo Synthesis,Empresa,Contacto U,Grupo Synthesis@example.com,(011) 5000-0021,S.A,Responsable Inscripto,20-12345680-1,2024-04-16,True,Anual,359387.0,403101,Argentina
D00022,DeltaElectro,Empresa,Contacto V,DeltaElectro@example.com,(011) 5000-0022,S.A,Monotributista,21-23456781-2,2024-02-04,False,Mensual,453421.0,402101,Paraguay
D00023,SmartTech Argentina,Empresa,Contacto W,SmartTech Argentina@example.com,(011) 5000-0023,S.A,Responsable Inscripto,22-34567892-3,2024-05-30,True,Bimestral,333679.0,403101,Argentina
D00024,NovaVisión,Empresa,Contacto X,NovaVisión@example.com,(011) 5000-0024,S.A,Monotributista,23-45678903-4,2024-05-31,True,Anual,152261.0,403101,México
D00025,InfoMática S.A.,Empresa,Contacto Y,InfoMática S.A.@example.com,(011) 5000-0025,S.A,Responsable Inscripto,24-56789014-5,2024-06-08,True,Mensual,309782.0,402101,Paraguay
D00026,Energía VIVA,Empresa,Contacto Z,Energía VIVA@example,(011) 5000-0026,S.A,Monotributista,25-67890125-6,2024-06-13,True,Bimestral,270140.0,403101,Paraguay
D00027,TransWorld,Empresa,Contacto AA,TransWorld@example.com,(011) 5000-0027,S.A,Responsable Inscripto,26-78901236-7,2024-06-05,True,Anual,414446.0,403101,Argentina
D00028,Soluciones Urbanas,Empresa,Contacto BB,Soluciones Urbanas@example.com,(011) 5000-0028,S.A,Monotributista,27-89012347-8,2024-01-27,False,Mensual,218575.0,402101,Brasil
D00029,GlobalNet,Empresa,Contacto CC,GlobalNet@example.com,(011) 5000-0029,S.R.L,Responsable Inscripto,28-90123458-9,2024-06-18,True,Bimestral,272633.0,403101,Paraguay
