numero,nombre,cuit,categoria,contribuyente,contacto,mail,telefono,razon,importe,fecha,nro_cuenta,ciudad
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable inscripto,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A,171488.0,2024-03-18,501400,Buenos Aires
P00002,Pedro González,30-87654321-0,Servicios,Monotributista,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L,288255.0,2024-02-08,503100,Cordoba
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable inscripto,María López,maria.lopez@empresa.com,3456-7890,S.A,195975.0,2024-01-18,506100,Rosario
P00004,Servicios AB,30-24681357-2,Agente impositivo,Responsable inscripto,Laura Ruiz,laura.ruiz@correo.zom,4567-8901,S.R.L,158607.0,2024-03-09,509100,Mendoza
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A,238101.0,2024-03-28,516000,Buenos Aires
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A,288617.0,2024-04-14,516000,Buenos Aires
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable inscripto,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L,251833.0,2024-01-09,501400,San Miguel de Tucumán
P00007,Ana Sánchez,30-19283746-4,Servicios,Responsable inscripto,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A,235688.0,2024-05-06,503100,Mar del Plata
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L,110198.0,2024-06-12,506100,La Plata
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L,269252.0,2024-01-21,506100,La Plata
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A,12373.0,2024-01-20,509100,Mendoza
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A,151274.0,2024-03-06,509100,Mendoza
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L,101610.0,2024-01-28,514100,Mar del Plata
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L,273713.0,2024-05-02,514100,Mar del Plata
P00011,Javier López,30-65432198-7,Agente impositivo,Monotributista,Javier López,javier.lopez@correo.zom,1234-5678,S.A,291963.0,2024-06-04,516000,Mar del Plata
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L,224379.0,2024-04-09,501400,Salta
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L,153447.0,2024-06-03,501400,Salta
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A,79543.0,2024-04-14,503100,Santa Fe
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A,41665.0,2024-02-01,503100,Santa Fe
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L,58494.0,2024-01-15,506100,San Juan
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L,218705.0,2024-06-19,506100,San Juan
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A,35574.0,2024-05-24,509100,Buenos Aires
