Numero Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Corre Electronico,Telefono,Razon Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable inscripto,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,171488.0,18/03/2024,501400,Buenos Aires,Argentina,
P00002,Pedro González,30-87654321-0,Servicios,Monotributista,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,288255.0,8/02/2024,503100,Cordoba,Argentina,
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable inscripto,María López,maria.lopez@empresa.com,3456-7890,S.A.,195975.0,18/01/2024,506100,Rosario,Argentina,
P00004,Servicios AB,30-24681357-2,Agente impositivo,Responsable inscripto,Laura Ruiz,laura.ruiz@correo.zom,4567-8901,S.R.L.,158607.0,9/03/2024,509100,Mendoza,Argentina,
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,238101.0,28/03/2024,516000,Buenos Aires,Argentina,
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,288617.0,14/04/2024,516000,Buenos Aires,Argentina,
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable inscripto,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,251833.0,9/01/2024,501400,San Miguel de Tucumán,Argentina,
P00007,Ana Sánchez,30-19283746-4,Servicios,Responsable inscripto,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,235688.0,6/05/2024,503100,Mar del Plata,Argentina,
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,110198.0,12/06/2024,506100,La Plata,Argentina,
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,269252.0,21/01/2024,506100,La Plata,Argentina,
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,12373.0,20/01/2024,509100,Mendoza,Argentina,
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,151274.0,6/03/2024,509100,Mendoza,Argentina,
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,101610.0,28/01/2024,514100,Mar del Plata,Argentina,
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,273713.0,2/05/2024,514100,Mar del Plata,Argentina,
P00011,Javier López,30-65432198-7,Agente impositivo,Monotributista,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,291963.0,4/06/2024,516000,Mar del Plata,Argentina,
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,224379.0,9/04/2024,501400,Salta,Argentina,
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,153447.0,3/06/2024,501400,Salta,Argentina,
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,79543.0,14/04/2024,503100,Santa Fe,Argentina,
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,41665.0,1/02/2024,503100,Santa Fe,Argentina,
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,58494.0,15/01/2024,506100,San Juan,Argentina,
P00014,Estudio Jurídico Alfa,30135792487,Materiales,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,218705.0,19/06/2024,506100,San Juan,Argentina,
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,35574.0,24/05/2024,509100,Buenos Aires,Argentina,
P00015,Rosa Pérez,30-24681358-6,Agente impositivo,Responsable inscripto,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,26434.0,19/05/2024,509100,Buenos Aires,Argentina,
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,295412.0,9/04/2024,514100,Neuquén,Argentina,
P00016,Marketing Global,30-97531247-8,Servicios,Responsable inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,128265.0,10/04/2024,514100,Neuquén,Argentina,
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,136358.0,1/05/2024,516000,Rio Gallegos,Argentina,
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,288537.0,5/03/2024,516000,Rio Gallegos,Argentina,
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,122441.0,3/01/2024,501400,San Rafael,Argentina,
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable inscripto, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,133962.0,4/02/2024,501400,San Rafael,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,109470.0,1/01/2019,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,211512.0,28/03/2019,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,115392.0,28/05/2019,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,66906.0,7/01/2021,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,149277.0,7/10/2020,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,164820.0,1/01/2023,509100,Buenos Aires,Argentina,
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,84017.0,7/10/2023,509100,Buenos Aires,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,12770.0,3/01/2019,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,279575.0,1/04/2019,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,229019.0,1/06/2019,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,277032.0,10/01/2021,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,170554.0,10/10/2020,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,109099.0,3/01/2023,501400,Bahía Blanca,Argentina,
P00102,Ana Rodríguez,30-98765432-5,Consultoría,Responsable inscripto,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,120929.0,10/10/2023,501400,Bahía Blanca,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,272036.0,5/01/2019,501400,Buenos Aires,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,211801.0,4/04/2019,501400,Buenos Aires,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,153534.0,4/06/2019,501400,Buenos Aires,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,291211.0,13/01/2021,501400,Buenos Aires,Argentina,
P00103,Carlos Fernández,27-23456789-1,Energía renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,25100.0,13/10/2020,501400,Buenos Aires,Argentina,
