Numero Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Corre Electronico,Telefono,Razon Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps,Ciudad-maps
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable inscripto,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,171488.0,18/03/2024,501400,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00002,Pedro González,30-87654321-0,Servicios,Monotributista,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,288255.0,8/02/2024,503100,Cordoba,Argentina,"(37.8845813, -4.7760138)","Cordoba, Argentina"
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable inscripto,María López,maria.lopez@empresa.com,3456-7890,S.A.,195975.0,18/01/2024,506100,Rosario,Argentina,"(-32.9593609, -60.6617024)","Rosario, Argentina"
P00004,Servicios AB,30-24681357-2,Agente impositivo,Responsable inscripto,Laura Ruiz,laura.ruiz@correo.zom,4567-8901,S.R.L.,158607.0,9/03/2024,509100,Mendoza,Argentina,"(-34.787093049999996, -68.43818677312292)","Mendoza, Argentina"
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,238101.0,28/03/2024,516000,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00005, Carlos Méndez,30-12345678-9,Servicios,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,288617.0,14/04/2024,516000,Buenos Aires,Argentina,"(-34.6083696, -58.4440583)","Buenos Aires, Argentina"
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable inscripto,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,251833.0,9/01/2024,501400,San Miguel de Tucumán,Argentina,"(-26.8303703, -65.2038133)","San Miguel de Tucumán, Argentina"
P00007,Ana Sánchez,30-19283746-4,Servicios,Responsable inscripto,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,235688.0,6/05/2024,503100,Mar del Plata,Argentina,"(-37.9977225, -57.5482703)","Mar del Plata, Argentina"
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,110198.0,12/06/2024,506100,La Plata,Argentina,"(-34.9206797, -57.9537638)","La Plata, Argentina"
P00008,Compañía Beta,30-74859632-7,Agente impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,269252.0,21/01/2024,506100,La Plata,Argentina,"(-34.9206797, -57.9537638)","La Plata, Argentina"
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,12373.0,20/01/2024,509100,Mendoza,Argentina,"(-34.787093049999996, -68.43818677312292)","Mendoza, Argentina"
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable inscripto, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,151274.0,6/03/2024,509100,Mendoza,Argentina,"(-34.787093049999996, -68.43818677312292)","Mendoza, Argentina"
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,101610.0,28/01/2024,514100,Mar del Plata,Argentina,"(-37.9977225, -57.5482703)","Mar del Plata, Argentina"
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,273713.0,2/05/2024,514100,Mar del Plata,Argentina,"(-37.9977225, -57.5482703)","Mar del Plata, Argentina"
P00011,Javier López,30-65432198-7,Agente impositivo,Monotributista,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,291963.0,4/06/2024,516000,Mar del Plata,Argentina,"(-37.9977225, -57.5482703)","Mar del Plata, Argentina"
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,224379.0,9/04/2024,501400,Salta,Argentina,"(-25.1076701, -64.3494964)","Salta, Argentina"
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,153447.0,3/06/2024,501400,Salta,Argentina,"(-25.1076701, -64.3494964)","Salta, Argentina"
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,79543.0,14/04/2024,503100,Santa Fe,Argentina,"(-30.3154739, -61.1645076)","Santa Fe, Argentina"
