Número Proveedor,Nombre Proveedor,CUIT,Categor/a Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Maps
P00001,Proveedora S.A.,30-12345678-9,SERVIC/OS,RESPONSABLE INSCR/ITO,-,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,"171.488,00",18/03/2024,501400,Buenos Aires,Argentina,
P00002,Pedro González,30-87654321-0,SERVIC/OS,MONOTRIBUTISTA,-,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,"288.255,00",8/02/2024,503100,Cordoba,Argentina,
P00003,Empresa XYZ,30-13579246-3,MATER/IALES,RESPONSABLE INSCR/ITO,-,María López,maria.lopez@empresa.com,3456-7890,S.A.,"195.975,00",18/01/2024,506100,Rosario,Argentina,
P00004,Servicios AB,30-24681357-2,AGENTE /MPOSITIVO,RESPONSAB/LE INSCRIPTO,-,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,S.R.L.,"158.607,00",9/03/2024,509100,Mendoza,Argentina,
P00005, Carlos Méndez,30-12345678-9,SERVIC/OS,MONOTRIBUTISTA,-, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"238.101,00",28/03/2024,516000,Buenos Aires,Argentina,
P00005, Carlos Méndez,30-12345678-9,SERVIC/OS,MONOTRIBUTISTA,-,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"288.617,00",14/04/2024,516000,Buenos Aires,Argentina,
P00006,Grupo Alfa,30-97531246-1,SERVIC/OS,RESPONSAB/LE INSCRIPTO,-,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,"251.833,00",9/01/2024,501400,San Miguel de Tucumán,Argentina,
P00007,Ana Sánchez,30-19283746-4,SERVIC/OS,RESPONSABLE INSCR/ITO,-,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,"235.688,00",6/05/2024,503100,Mar del Plata,Argentina,
P00008,Compañía Beta,30-74859632-7,AGENTE /MPOSITIVO,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,"110.198,00",12/06/2024,506100,La Plata,Argentina,
P00008,Compañía Beta,30-74859632-7,AGENTE /MPOSITIVO,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,"269.252,00",21/01/2024,506100,La Plata,Argentina,
P00009,Fernando Gómez,30-12345679-8,MATER/IALES,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,"12.373,00",20/01/2024,509100,Mendoza,Argentina,
P00009,Fernando Gómez,30-12345679-8,MATER/IALES,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,"151.274,00",6/03/2024,509100,Mendoza,Argentina,
P00010,Soluciones Gama,30-98765432-1,SERVIC/OS,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"101.610,00",28/01/2024,514100,Mar del Plata,Argentina,
P00010,Soluciones Gama,30-98765432-1,SERVIC/OS,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"273.713,00",2/05/2024,514100,Mar del Plata,Argentina,
P00011,Javier López,30-65432198-7,AGENTE /MPOSITIVO,MONOTRIBUTISTA,-,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,"291.963,00",4/06/2024,516000,Mar del Plata,Argentina,
P00012,Proveedor Ltda.,30-32165487-0,SERVIC/OS,RESPONSABLE INSCR/ITO,-,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"224.379,00",9/04/2024,501400,Salta,Argentina,
