Número Proveedor,Nombre Proveedor,CUIT,Categoria Proveedor,Tipo de Contribuyente,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta
P00038,Laura Fernández,30-98765437-1,SERVICOS,Monotributista,Laura Fernández,laura.fernandez@empresa.zom,8901-2345,S.R.L.,"$10.164,00",2/6/24/,509100
P00100,Gabriela Morales,30-98765437-1,MATERIALES,Monotributista,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,"$11.660,00",31/1/24/,503100
P00067,Estudio Jurídico S.A.,30-98765437-1,MATERIALES,Responsable inscripto,Estudio Jurídico,estudio.juridico@correo.com,7890-1234,S.A.,"$15.039,00",13/5/24/,509100
P00002,Pedro González,30-98765437-1,SERVICOS,Monotributista,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,"$18.521,00",8/2/24/,503100
P00092,Consultora Zeta,30-98765437-1,SERVICOS,Monotributista,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,"$19.014,00",19/1/24/,516000
P00080,Consultora Beta SRL,30-98765437-1,SERVICOS,Monotributista,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,"$19.483,00",12/1/24/,514100
D00030,Constructora Beta,30-98765437-1,SERVICOS,Responsable inscripto,Ricardo Martínez,ricardo.martinez@empresa.zom,0123-4567,S.R.L.,"$23.335,00",7/1/24/,503100
P00060,Roberto Pérez,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Roberto Pérez,roberto.perez@correo.zom,0123-4567,S.R.L.,"$24.035,00",27/2/24/,503100
P00073,Andrés García,30-98765437-1,MATERIALES,Responsable inscripto,Andrés García,andres.garcia@correo.zom,3456-7890,S.A.,"$24.573,00",13/6/24/,509100
P00027,Compañía Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Ana García,ana.garcia@empresa.com,7890-1234,S.A.,"$24.710,00",29/2/24/,514100
P00010,Soluciones Gama,30-98765437-1,SERVICOS,Responsable inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,"$28.033,00",28/1/24/,514100
P00012,Proveedor Ltda.,30-98765437-1,SERVICOS,Responsable inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,"$29.110,00",9/4/24/,501400
P00075,Servicios Alpha S.A.,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,"$30.219,00",3/5/24/,516000
P00005,Carlos Méndez,30-98765437-1,SERVICOS,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,"$30.808,00",14/4/24/,516000
P00033,Servicios & Co.,30-98765437-1,SERVICOS,Monotributista,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,S.A.,"$32.000,00",29/1/24/,514100
P00094,Gabriela Martínez,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,"$37.732,00",21/3/24/,503100
P00079,Ana Morales,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Ana Morales,ana.morales@correo.zom,9012-3456,S.A.A,"$38.459,00",21/5/24/,509100
P00072,Estudio Consultores,30-98765437-1,SERVICOS,Monotributista,Estudio Consultores,estudio.consultores@empresa.zom,2345-6789,S.R.L.,"$39.168,00",6/2/24/,506100
P00082,Gabriela Torres,30-98765437-1,SERVICOS,Monotributista,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,"$39.175,00",15/2/24/,503100
P00054,Claudia Ruiz,30-98765437-1,MATERIALES,Monotributista,Claudia Ruiz,claudia.ruiz@empresa.zom,4567-8901,S.R.L.,"$40.126,00",8/1/24/,503100
P00043,Ricardo García,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Ricardo García,ricardo.garcia@empresa.zom,3456-7890,S.A.,"$42.905,00",15/4/24/,506100
P00049,Mariana García,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Mariana García,mariana.garcia@correo.com,9012-3456,S.A.,"$43.426,00",23/2/24/,506100
P00065,Servicios Beta,30-98765437-1,MATERIALES,Responsable inscripto,Laura Gómez,laura.gomez@empresa.zom,5678-9012,S.A.,"$45.663,00",5/1/24/,503100
P00034,Empresas SRL,30-98765437-1,MATERIALES,Responsable inscripto,Ana López,ana.lopez@empresa.zom,4567-8901,S.R.L.,"$46.612,00",2/3/24/,516000
P00099,Servicios Repuestos,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,"$50.432,00",3/6/24/,501400
P00057,Consultora Beta,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Consultora Beta,consultora.beta@empresa.zom,7890-1234,S.A.,"$51.264,00",12/4/24/,514100
P00055,Servicios Alpha,30-98765437-1,SERVICOS,Responsable inscripto,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,"$55.617,00",15/3/24/,506100
P00097,Proveedora Consultora,30-98765437-1,SERVICOS,Responsable inscripto,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,"$56.026,00",16/3/24/,514100
P00008,Compañía Beta,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,"$58.428,00",12/6/24/,506100
P00085,Estudio Consultores,30-98765437-1,MATERIALES,Responsable inscripto,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.A,"$60.583,00",9/6/24/,514100
P00018,Consultora Zeta,30-98765437-1,SERVICOS,Responsable inscripto,Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,"$62.378,00",3/1/24/,501400
P00070,Mariana López,30-98765437-1,SERVICOS,Monotributista,Mariana López,mariana.lopez@correo.zom,0123-4567,S.R.L.,"$66.873,00",11/3/24/,501400
P00056,Repuestos S.A.,30-98765437-1,MATERIALES,Monotributista,Roberto Díaz,roberto.diaz@correo.zom,6789-0123,S.R.L.,"$71.853,00",2/5/24/,509100
P00004,Servicios AB,30-98765437-1,AGENTE IMPOSITIVO,Responsable inscripto,Laura Ruiz,laura.ruiz@correo.zom,4567-8901,S.R.L.,"$72.357,00",9/3/24/,509100
P00083,Proveedora Gamma,30-98765437-1,MATERIALES,Responsable inscripto,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,S.A.,"$73.957,00",16/2/24/,506100
P00074,Proveedora SRL,30-98765437-1,AGENTE IMPOSITIVO,Monotributista,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,S.R.L.,"$74.744,00",10/5/24/,514100
P00073,Andrés García,30-98765437-1,MATERIALES,Responsable inscripto,Andrés García,andres.garcia@correo.zom,3456-7890,S.A.,"$75.070,00",18/3/24/,509100
D00037,Distribuciones AB,30-98765437-1,MATERIALES,Responsable inscripto,Gabriela Ruiz,gabriela.ruiz@correo.com,7890-1234,S.A.,"$75.330,00",8/3/24/,506100
P00014,Estudio Jurídico Alfa,30-98765437-1,MATERIALES,Responsable inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,"$78.723,00",15/1/24/,506100
